Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
huong-dan-hoc-excel-can-ban,Hướng dẫn học Excel căn bản,Khóa học Excel căn bản trang bị cho các bạn sinh viên sắp ra trường các kiến thức cơ bản về tin học văn phòng.,https://youtu.be/FIrbKnYcl10?list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1: Làm quen với Excel,,,,
,,,,Khóa học này sẽ dạy bạn:,Bạn chỉ cần có một chiếc máy tính để thực hành ngay.,Bạn sẽ được học đầy đủ các kỹ năng excel để phục vụ cho công việc từ cơ bản đến nâng cao sau khóa học này.,Tất cả mọi người đều có thể học (trừ trẻ em),,Hướng dẫn học EXCEL cơ bản - 01 - Nhập dữ liệu và tính toán đơn giản trong Excel,4:54,video,https://www.youtube.com/watch?v=l4s_eTwW0q4&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,- Nhập dữ liệu và tính toán đơn giản trong Excel,,,,,"Hướng dẫn học EXCEL cơ bản - 02 - Thêm, bớt hàng hoặc cột trong Excel",2:24,video,https://www.youtube.com/watch?v=al5vkcHJP9s&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=2
,,,,"- Thêm, bớt hàng hoặc cột trong Excel",,,,,Hướng dẫn học EXCEL cơ bản - 03 - Xoá dữ liệu trong bảng tính trong excel,2:28,video,https://www.youtube.com/watch?v=8G3e5nkaWbw&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=3
,,,,- Xoá dữ liệu trong bảng tính trong Excel,,,,,Hướng dẫn học EXCEL cơ bản - 04 - Định dạng căn bản trong excel,1:58,video,https://www.youtube.com/watch?v=3jbFc89Mic0&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=5
,,,,- Định dạng căn bản trong Excel,,,,,Hướng dẫn học EXCEL cơ bản - 05 - Chèn hình ảnh vào trong bảng tính trong excel,3:05,video,https://www.youtube.com/watch?v=1YE8Vsbt0W8&index=4&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,- Chèn hình ảnh vào trong bảng tính trong excel,,,,,Hướng dẫn học EXCEL cơ bản - 06 - Copy và Paste dữ liệu trong excel,3:05,video,https://www.youtube.com/watch?v=ucA6hX4AIBM&index=6&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,- Copy và Paste dữ liệu trong excel,,,,,Hướng dẫn học EXCEL cơ bản - 07 - Copy và Paste dữ liệu (tiếp) trong excel,2:41,video,https://www.youtube.com/watch?v=IsuAZFP4R88&index=7&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,- Địa chỉ tuyệt đối và địa chỉ tương đối trong excel,,,,,Hướng dẫn học EXCEL cơ bản - 08 - Cut và Paste dữ liệu trong excel,2:15,video,https://www.youtube.com/watch?v=QSs_7-IQTfw&index=8&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,- Vẽ biểu đồ hình cột,,,,,Hướng dẫn học EXCEL cơ bản - 09 - Địa chỉ tuyệt đối và địa chỉ tương đối trong excel,2:47,video,https://www.youtube.com/watch?v=cetfjfgthOM&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=9
